"","Gene","Category1","Category2","Subcategory","M0_w","SequenceLength","Category","M87_padj","M21_padj","PosSelM87","PosSelM21","GeneStableID","logPPI_medconf","logSeqL"
"565","Cyld","intracellSignaling","otherIntracellSignaling",NA,"0.0562",2868,"Immune",1,1,0,0,"ENSMUSG00000036712",2.24551266781415,3.45757914699576
"566","Cyp11b1","Control",NA,NA,"0.51142",1497,"Control",2.3877355831107e-06,0.000302071202275625,1,1,"ENSMUSG00000075604",1.79239168949825,3.17522180034305
"567","Cyp2e1","Control",NA,NA,"0.26437",1479,"Control",0.000345222551982711,0.0643854688002139,1,0,"ENSMUSG00000025479",2.46982201597816,3.16996817399689
"568","Cyp2r1","Control",NA,NA,"0.20386",1503,"Control",0.000689605967025083,0.120779479684623,1,0,"ENSMUSG00000030670",1.46239799789896,3.17695898058691
"569","Cyp2s1","Control",NA,NA,"0.18147",1488,"Control",0.417267098361566,1,0,0,"ENSMUSG00000040703",2.06818586174616,3.17260293120986
"570","Cyp2w1","Control",NA,NA,"0.19059",1479,"Control",0.0271194821448502,1,1,0,"ENSMUSG00000029541",1.07918124604762,3.16996817399689
"571","Cyp51","Control",NA,NA,"0.08882",1509,"Control",0.188628527225507,1,0,0,"ENSMUSG00000001467",1.9731278535997,3.17868923977559
"572","D1Pas1",NA,NA,NA,"0.03233",1935,"Immune",0.552799242358888,1,0,0,"ENSMUSG00000039224",2.06069784035361,3.28668096935493
"573","D8Ertd738e","Control",NA,NA,"0.16759",267,"Control",0.0133627163852904,0.0747595109737874,1,0,"ENSMUSG00000019362",1.34242268082221,2.42651126136458
"574","Dalrd3","Control",NA,NA,"0.25817",1608,"Control",0.118585706816311,1,0,0,"ENSMUSG00000019039",1.63346845557959,3.20628604441243
"575","Dapp1","intracellSignaling","Adaptor","Adaptor","0.07778",840,"Immune",0.711214167187845,1,0,0,"ENSMUSG00000028159",1.5910646070265,2.92427928606188
"576","Dars","Control",NA,NA,"0.04184",1503,"Control",1,1,0,0,"ENSMUSG00000026356",1.89209460269048,3.17695898058691
"577","Dbndd2","Control",NA,NA,"0.09608",474,"Control",0.507383795620012,1,0,0,"ENSMUSG00000017734",0.954242509439325,2.67577834167409
"578","Dcaf1",NA,NA,NA,"0.02292",4536,"Immune",0.0442261887203927,1,1,0,"ENSMUSG00000040325",2.04532297878666,3.65667304588485
"579","Dcaf4","Control",NA,NA,"0.22353",1542,"Control",0.0640516450739241,1,0,0,"ENSMUSG00000021222",1.85125834871908,3.18808437371494
"580","Ddah2","Control",NA,NA,"0.05113",855,"Control",1,1,0,0,"ENSMUSG00000007039",1.27875360095283,2.93196611472817
"581","Ddost",NA,NA,NA,"0.04294",1323,"Immune",0.757327274769136,1,0,0,"ENSMUSG00000028757",2.02530586526477,3.1215598441875
"582","Ddx23","Control",NA,NA,"0.01473",2457,"Control",1.62284075067021e-10,0.520386545829938,1,0,"ENSMUSG00000003360",2.22788670461367,3.39040515648008
"583","Ddx3x","PRR","PRR","NucleicAcids","0.01503",1986,"Immune",0.00246896747445172,1,1,0,"ENSMUSG00000000787",2.52374646681156,3.29797924415936
"584","Ddx59","Control",NA,NA,"0.16997",1860,"Control",1,1,0,0,"ENSMUSG00000026404",2.06069784035361,3.26951294421792
"614","Defb14","Effector","Effector","AMP","0.49736",204,"Immune",0.223841338520333,1,0,0,"ENSMUSG00000046354",1.7160033436348,2.3096301674259
"616","Defb18","Effector","Effector","AMP","0.91369",255,"Immune",0.0296615362825558,0.405660290787309,1,0,"ENSMUSG00000073735",1.69897000433602,2.40654018043396
"617","Defb19","Effector","Effector","AMP","0.42927",246,"Immune",0.00639382277931889,0.0347285638518747,1,1,"ENSMUSG00000050645",1.75587485567249,2.39093510710338
"619","Defb20","Effector","Effector","AMP","0.72747",267,"Immune",1.19133341178894e-05,0.0010607767775006,1,1,"ENSMUSG00000049560",1.27875360095283,2.42651126136458
"620","Defb21","Effector","Effector","AMP","1.0391",261,"Immune",4.02766957427526e-09,1.39946766682051e-08,1,1,"ENSMUSG00000056544",1.65321251377534,2.41664050733828
"622","Defb25","Effector","Effector","AMP","0.29381",201,"Immune",0.370184960011294,1,0,0,"ENSMUSG00000074678",1.66275783168157,2.30319605742049
"623","Defb28","Effector","Effector","AMP","0.59805",243,"Immune",2.82772081059814e-05,0.000618894447362872,1,1,"ENSMUSG00000074679",1.74036268949424,2.38560627359831
"624","Defb29","Effector","Effector","AMP","0.4586",234,"Immune",0.878075572569396,1,0,0,"ENSMUSG00000044249",1.34242268082221,2.36921585741014
"629","Defb36","Effector","Effector","AMP","0.06873",201,"Immune",1,1,0,0,"ENSMUSG00000044863",1.69019608002851,2.30319605742049
"635","Defb41","Effector","Effector","AMP","0.53443",195,"Immune",0.647736888355951,1,0,0,"ENSMUSG00000067773",1.34242268082221,2.29003461136252
"636","Defb42","Effector","Effector","AMP","0.70686",228,"Immune",4.95551206212647e-12,9.66419136908506e-13,1,1,"ENSMUSG00000054763",1.65321251377534,2.35793484700045
"637","Defb43","Effector","Effector","AMP","0.4691",210,"Immune",0.0123173022944124,0.232583595677586,1,0,"ENSMUSG00000075572",1.65321251377534,2.32221929473392
"640","Degs2","Control",NA,NA,"0.10112",969,"Control",1,1,0,0,"ENSMUSG00000021263",1.67209785793572,2.98632377705077
"641","Dffb","Control",NA,NA,"0.11962",990,"Control",0.706247090098695,1,0,0,"ENSMUSG00000029027",1.68124123737559,2.99563519459755
"642","Dgat2l6","Control",NA,NA,"0.48781",1011,"Control",0.000408214868983355,0.111299931688706,1,0,"ENSMUSG00000067597",1.07918124604762,3.004751155591
"643","Dgkb","Control",NA,NA,"0.02602",2385,"Control",0.011247611827681,1,1,0,"ENSMUSG00000036095",1.86332286012046,3.37748838337613
"644","Dguok","Control",NA,NA,"0.30031",831,"Control",0.781223264859817,1,0,0,"ENSMUSG00000014554",2.06069784035361,2.91960102378411
"645","Dhrs1","Control",NA,NA,"0.27791",939,"Control",1.48345807642857e-09,9.42816077574373e-08,1,1,"ENSMUSG00000002332",1.34242268082221,2.97266559226611
"646","Dhrs4","Control",NA,NA,"0.28968",837,"Control",5.11735356931874e-15,3.54580781051821e-12,1,1,"ENSMUSG00000022210",1.89209460269048,2.92272545799326
"647","Dhx36","PRR","PRR","NucleicAcids","0.07452",2961,"Immune",0.305268222920243,1,0,0,"ENSMUSG00000027770",2.13033376849501,3.4714384073893
"648","Dhx37","Control",NA,NA,"0.12008",3453,"Control",0.00825478753259858,1,1,0,"ENSMUSG00000029480",2.25767857486918,3.53819657834945
"649","Dhx40","Control",NA,NA,"0.02606",2337,"Control",1,1,0,0,"ENSMUSG00000018425",2.07918124604762,3.36865871239223
"650","Dhx58","intracellSignaling","otherIntracellSignaling",NA,"0.20675",2034,"Immune",8.36855383208936e-08,3.9191278788151e-05,1,1,"ENSMUSG00000017830",2.31175386105575,3.30835094858673
"651","Dhx9","PRR","PRR","NucleicAcids","0.01464",3738,"Immune",0.00961861178483643,1,1,0,"ENSMUSG00000042699",2.70243053644553,3.57263929704281
"652","Dkk4","Control",NA,NA,"0.24072",663,"Control",0.00115698299885847,0.404604432452725,1,0,"ENSMUSG00000031535",1.79934054945358,2.82151352840477
"653","Dlc1","Control",NA,NA,"0.14022",4575,"Control",0.000104483489280041,1,1,0,"ENSMUSG00000031523",1.41497334797082,3.66039109840247
"654","Dlg1","intracellSignaling","Adaptor","Adaptor","0.06035",2781,"Immune",0.502996595934654,1,0,0,"ENSMUSG00000022770",2.21218760440396,3.44420098886416
"655","Dll1","otherCellSurfaceProt","otherCellSurfaceProt",NA,"0.05721",2166,"Immune",0.00859537223035443,1,1,0,"ENSMUSG00000014773",2.08635983067475,3.3356584522893
"656","Dll4","otherCellSurfaceProt","otherCellSurfaceProt",NA,"0.09846",2058,"Immune",0.0030728113788592,1,1,0,"ENSMUSG00000027314",2.13672056715641,3.31344537042641
"657","Dmp1","Control",NA,NA,"0.22758",1488,"Control",0.0060972370311696,1,1,0,"ENSMUSG00000029307",1.79934054945358,3.17260293120986
"658","Dnaja4","Control",NA,NA,"0.07496",1191,"Control",0.0774480031386142,1,0,0,"ENSMUSG00000032285",1.90308998699194,3.07591176148278
"659","Dnajb6","Control",NA,NA,"0.27882",1017,"Control",0.215080321235995,0.630998655175834,0,0,"ENSMUSG00000029131",1.83250891270624,3.00732095292274
"660","Dnajc2","Control",NA,NA,"0.05581",1863,"Control",0.537537067072069,1,0,0,"ENSMUSG00000029014",1.98677173426624,3.27021285489624
"661","Dnase1","Control",NA,NA,"0.29894",852,"Control",0.000208517095254342,0.0302439615602044,1,1,"ENSMUSG00000005980",1.20411998265592,2.9304395947667
"662","Dnase1l2","Control",NA,NA,"0.14868",834,"Control",0.22980596795114,1,0,0,"ENSMUSG00000024136",1.07918124604762,2.92116605063774
"663","Dnase2a",NA,NA,NA,"0.32513",1062,"Immune",1.19590327978645e-14,2.45765889601828e-12,1,1,"ENSMUSG00000003812",1.65321251377534,3.02612451674545
"664","Dnm2",NA,NA,NA,"0.01232",2610,"Immune",0.110043832867701,1,0,0,"ENSMUSG00000033335",2.27646180417324,3.41664050733828
"665","Dnpep","Control",NA,NA,"0.08507",1425,"Control",0.00126054364015268,0.0784954491309676,1,0,"ENSMUSG00000026209",1.7481880270062,3.15381486434453
"666","Dntt","Control",NA,NA,"0.21697",1563,"Control",0.69300459390466,1,0,0,"ENSMUSG00000025014",2.15533603746506,3.19395897801919
"667","Dock1",NA,NA,NA,"0.02504",5577,"Immune",0.00010261536326845,1,1,0,"ENSMUSG00000058325",2.25767857486918,3.74640064449156
"668","Dock10","Control",NA,NA,"0.06669",6552,"Control",0.197874749118006,1,0,0,"ENSMUSG00000038608",1.38021124171161,3.81637388875236
"669","Dock2",NA,NA,NA,"0.05077",5487,"Immune",2.51133022937587e-06,1,1,0,"ENSMUSG00000020143",2.03342375548695,3.73933496019608
"670","Dock4","Control",NA,NA,"0.02335",5901,"Control",0.00327638989503189,1,1,0,"ENSMUSG00000035954",2.68484536164441,3.770925614639
"671","Dock8",NA,NA,NA,"0.05758",6300,"Immune",1.03107906845331e-06,1,1,0,"ENSMUSG00000052085",1.72427586960079,3.79934054945358
"672","Dok5","Control",NA,NA,"0.02337",918,"Control",1,1,0,0,"ENSMUSG00000027560",1.27875360095283,2.96284268120124
"673","Dolpp1","Control",NA,NA,"0.09258",714,"Control",1,1,0,0,"ENSMUSG00000026856",1.54406804435028,2.85369821177617
"674","Dph1","Control",NA,NA,"0.18268",1302,"Control",0.010479995153879,1,1,0,"ENSMUSG00000078789",1.5910646070265,3.11461098423217
"675","Dpp4","Control",NA,NA,"0.24436",2292,"Control",1.59922580128948e-07,0.000545286891351839,1,1,"ENSMUSG00000035000",2.33445375115093,3.36021461329535
"676","Dpy30","Control",NA,NA,"0.03562",297,"Control",1,1,0,0,"ENSMUSG00000024067",2.25527250510331,2.47275644931721
"677","Drc3","Control",NA,NA,"0.17735",1569,"Control",1.72415486573269e-05,0.029848669226247,1,1,"ENSMUSG00000056598",1.79934054945358,3.19562294358694
"678","Dsc2","Control",NA,NA,"0.21902",2706,"Control",4.89572424701775e-05,1,1,0,"ENSMUSG00000024331",1.56820172406699,3.4323277922616
"679","Dscam","Control",NA,NA,"0.0104",6039,"Control",0.57355630396083,1,0,0,"ENSMUSG00000050272",1.8750612633917,3.78096502960832
"680","Dsel","Control",NA,NA,"0.15562",3621,"Control",0.00751212552110016,1,1,0,"ENSMUSG00000038702",1.20411998265592,3.55882852481701
"681","Dsn1","Control",NA,NA,"0.42449",1041,"Control",0.0043443198270271,1,1,0,"ENSMUSG00000027635",1.94939000664491,3.01745072951054
"682","Dsp","Control",NA,NA,"0.02687",8598,"Control",4.94119075458381e-05,1,1,0,"ENSMUSG00000054889",2.00860017176192,3.93439744078099
"683","Dthd1","Control",NA,NA,"0.30761",2718,"Control",0.0179212094878595,1,1,0,"ENSMUSG00000090326",1.32221929473392,3.43424945239648
"684","Dtx3l","intracellSignaling","Ubiquitinase","Ubiquitinase","0.55687",2019,"Immune",0,0,1,1,"ENSMUSG00000049502",1.50514997831991,3.30513631894364
"685","Duoxa1","Control",NA,NA,"0.18091",1023,"Control",0.00124877017891739,1,1,0,"ENSMUSG00000027224",1.32221929473392,3.00987563371216
"686","Dusp11","Control",NA,NA,"0.47035",972,"Control",0.00734066239026516,0.129518537815132,1,0,"ENSMUSG00000030002",1.5910646070265,2.98766626492627
"687","Dusp12","Control",NA,NA,"0.2323",1017,"Control",0.107021029402325,1,0,0,"ENSMUSG00000026659",1.56820172406699,3.00732095292274
"688","Dusp13","Control",NA,NA,"0.24052",948,"Control",0.840332615217531,1,0,0,"ENSMUSG00000021768",1.20411998265592,2.97680833733807
"689","Dusp19","Control",NA,NA,"0.27495",660,"Control",0.281118033521276,1,0,0,"ENSMUSG00000027001",1.39794000867204,2.81954393554187
"690","Dysf",NA,NA,NA,"0.05135",6360,"Immune",0.0856574996908697,1,0,0,"ENSMUSG00000033788",1.89209460269048,3.80345711564841
"691","Dzip1l","Control",NA,NA,"0.17887",2301,"Control",0.00115121361075367,0.270197773245199,1,0,"ENSMUSG00000037784",0.903089986991944,3.36191661866864
"692","E2f3","Control",NA,NA,"0.07967",1368,"Control",1,1,0,0,"ENSMUSG00000016477",2.00860017176192,3.1360860973841
"698","Ebi3","CytoChemoRecept","CytoChemoRecept","CytoChemo","0.22235",672,"Immune",0.0640516450739241,1,0,0,"ENSMUSG00000003206",1.43136376415899,2.82736927305383
"699","Ecd","Control",NA,NA,"0.21959",1905,"Control",0.160779986448381,1,0,0,"ENSMUSG00000021810",1.39794000867204,3.27989498001164
"700","Ece1","Control",NA,NA,"0.02853",2259,"Control",0.0252700975632152,1,1,0,"ENSMUSG00000057530",1.46239799789896,3.35391623092036
"701","Ecsit","intracellSignaling","Adaptor","Adaptor","0.27916",1302,"Immune",3.42071899979037e-05,0.109967270364389,1,0,"ENSMUSG00000066839",1.95424250943932,3.11461098423217
"702","Eda","CytoChemoRecept","CytoChemoRecept","CytoChemo","0.12123",1173,"Immune",1,1,0,0,"ENSMUSG00000059327",1.34242268082221,3.06929801211553
"703","Edrf1","Control",NA,NA,"0.06125",3717,"Control",0.117531223427653,1,0,0,"ENSMUSG00000039990",1.17609125905568,3.57019256109573
"704","Efcab2","Control",NA,NA,"0.23805",492,"Control",0.0439696245713579,0.93921549553904,1,0,"ENSMUSG00000026495",1.44715803134222,2.69196510276736
"705","Efemp2","Control",NA,NA,"0.06087",1386,"Control",0.0927350394869754,1,0,0,"ENSMUSG00000024909",1.85125834871908,3.14176323027579
"706","Efna2","Control",NA,NA,"0.02839",615,"Control",1,1,0,0,"ENSMUSG00000003070",1.83250891270624,2.78887511577542
"707","Eif2ak2","intracellSignaling","Kinase","Kinase","0.52999",1536,"Immune",0,0,1,1,"ENSMUSG00000024079",2.47129171105894,3.18639121569549
"708","Eif2ak3","Control",NA,NA,"0.09584",3303,"Control",0.531049148754925,1,0,0,"ENSMUSG00000031668",1.95904139232109,3.51890857369141
"709","Eif2ak4","Control",NA,NA,"0.11084",4941,"Control",0.0506917369988292,1,0,0,"ENSMUSG00000005102",2.2405492482826,3.69381485388942
"710","Eif2b3","Control",NA,NA,"0.17979",1356,"Control",0.0795107266364951,1,0,0,"ENSMUSG00000028683",1.92427928606188,3.13225968953104
"711","Eif5","Control",NA,NA,"0.04629",1290,"Control",1,1,0,0,"ENSMUSG00000021282",2.33041377334919,3.11058971029925
"712","Eif5b","Control",NA,NA,"0.10013",3615,"Control",7.28468343423794e-05,0.181175663092542,1,0,"ENSMUSG00000026083",2.72997428569956,3.55810830163055
"713","Elane","Effector","Effector",NA,"0.21826",795,"Immune",6.19342453847229e-06,0.000345317102208039,1,1,"ENSMUSG00000020125",2.20682587603185,2.90036712865647
"714","Elmo1",NA,NA,NA,"0.01224",2181,"Immune",0.322092019720518,1,0,0,"ENSMUSG00000041112",2.00860017176192,3.3386556655787
"715","Elmo2","Control",NA,NA,"0.02239",1998,"Control",0.000167320550918505,1,1,0,"ENSMUSG00000017670",1.98677173426624,3.30059548388996
"716","Elovl1","Control",NA,NA,"0.13346",834,"Control",0.024951403804148,0.257665649947047,1,0,"ENSMUSG00000006390",1.57978359661681,2.92116605063774
"717","Emc10","Control",NA,NA,"0.11983",801,"Control",1,1,0,0,"ENSMUSG00000008140",1.25527250510331,2.90363251608424
"718","Emc6","Control",NA,NA,"0.01609",330,"Control",1,1,0,0,"ENSMUSG00000047260",1.77815125038364,2.51851393987789
"719","Enah","Control",NA,NA,"0.15764",2334,"Control",0.563270071773356,1,0,0,"ENSMUSG00000022995",1.7481880270062,3.36810085170935
"720","Eng","Control",NA,NA,"0.37503",1944,"Control",8.05312480531364e-05,0.050848711454531,1,0,"ENSMUSG00000026814",2.41995574848976,3.28869626059026
"721","Enthd1","Control",NA,NA,"0.4668",1818,"Control",0.000307031041208299,0.168005544299772,1,0,"ENSMUSG00000050439",1.89209460269048,3.25959387888595
"722","Eomes","intracellSignaling","TranscrFact","TranscrFact","0.06837",2088,"Immune",0.58990509971785,1,0,0,"ENSMUSG00000032446",2.43616264704076,3.31973049433022
"723","Ep300","intracellSignaling","otherIntracellSignaling",NA,"0.09717",7236,"Immune",0.120973731830617,1,0,0,"ENSMUSG00000055024",2.7701152947871,3.85949855818778
"724","Epb41l3","Control",NA,NA,"0.15784",3117,"Control",0.181454276148333,1,0,0,"ENSMUSG00000024044",1.72427586960079,3.49373680227684
"725","Epha7","Control",NA,NA,"0.01035",2994,"Control",1,1,0,0,"ENSMUSG00000028289",1.63346845557959,3.47625179600703
"726","Ephb2","Control",NA,NA,"0.0099",2964,"Control",0.442511721667968,1,0,0,"ENSMUSG00000028664",2.03742649794062,3.47187819930729
"727","Epo","CytoChemoRecept","CytoChemoRecept","CytoChemo","0.21954",576,"Immune",0.552112812453019,1,0,0,"ENSMUSG00000029711",2.44715803134222,2.76042248342321
"728","Epor","CytoChemoRecept","CytoChemoRecept","CCRecept","0.14744",1521,"Immune",0.643792001297468,1,0,0,"ENSMUSG00000006235",2.22271647114758,3.182129214053
"729","Epp13","Control",NA,NA,"0.48286",489,"Control",0.00860719481358497,0.260452334735807,1,0,"ENSMUSG00000053367",1.25527250510331,2.68930885912362
"730","Eps8l2","Control",NA,NA,"0.11917",2166,"Control",0.000202243464564188,1,1,0,"ENSMUSG00000025504",1.73239375982297,3.3356584522893
"731","Epx",NA,NA,NA,"0.14407",2148,"Immune",0.00860719481358497,0.28993621188989,1,0,"ENSMUSG00000052234",1.78532983501077,3.33203427702752
"732","Erap1","intracellSignaling","otherIntracellSignaling",NA,"0.1939",2784,"Immune",0.123137391104927,1,0,0,"ENSMUSG00000021583",1.70757017609794,3.44466923093852
"733","Erbb3","Control",NA,NA,"0.07651",4017,"Control",0.0157617173611105,1,1,0,"ENSMUSG00000018166",2.41664050733828,3.60390183173167
"734","Erbin","intracellSignaling","Adaptor","Adaptor","0.17731",4356,"Immune",0.0209264832773318,1,1,0,"ENSMUSG00000021709",2.20682587603185,3.63908787108374
"735","Erc2","Control",NA,NA,"0.04285",2967,"Control",5.39996489303551e-08,1,1,0,"ENSMUSG00000040640",1.67209785793572,3.47231754631684
"736","Ercc3","Control",NA,NA,"0.02944",2343,"Control",0.000189460650508137,1,1,0,"ENSMUSG00000024382",2.45939248775923,3.36977228859696
"737","Erich1","Control",NA,NA,"0.37445",1011,"Control",0.40581417821357,1,0,0,"ENSMUSG00000051978",1.27875360095283,3.004751155591
"738","Erich2","Control",NA,NA,"0.42502",1338,"Control",0.0271194821448502,1,1,0,"ENSMUSG00000075302",1.07918124604762,3.1264561134318
"739","Erlin1","Control",NA,NA,"0.07126",1044,"Control",1,1,0,0,"ENSMUSG00000025198",1.77085201164214,3.01870049866624
"740","Ermap","otherCellSurfaceProt","otherCellSurfaceProt",NA,"0.26478",1737,"Immune",3.79387891599752e-05,1,1,0,"ENSMUSG00000028644",1.44715803134222,3.2397998184471
"741","Ero1b","Control",NA,NA,"0.07856",1335,"Control",0.308641426520861,1,0,0,"ENSMUSG00000057069",1.72427586960079,3.12548126570059
"742","Errfi1","Control",NA,NA,"0.18306",1380,"Control",0.103625023223573,1,0,0,"ENSMUSG00000028967",1.14612803567824,3.13987908640124
"743","Exd2","Control",NA,NA,"0.2492",1851,"Control",0.00749863927031975,0.519791046996874,1,0,"ENSMUSG00000032705",1.36172783601759,3.2674064187529
"744","Exoc1l","Control",NA,NA,"0.06072",516,"Control",0.822860976271916,1,0,0,"ENSMUSG00000091204",1.61278385671974,2.71264970162721
"745","Exog","Control",NA,NA,"0.15621",1077,"Control",1,1,0,0,"ENSMUSG00000042787",1.30102999566398,3.03221570329798
"746","Exosc8","Control",NA,NA,"0.09871",828,"Control",0.487811398567123,1,0,0,"ENSMUSG00000027752",2.25767857486918,2.91803033678488
"747","Eya4","Control",NA,NA,"0.07007",1917,"Control",1,1,0,0,"ENSMUSG00000010461",1.73239375982297,3.28262211287806
"748","F10","Control",NA,NA,"0.26824",1458,"Control",9.26621562146455e-07,3.76189737497076e-05,1,1,"ENSMUSG00000031444",1.85125834871908,3.16375752398196
"749","F11r",NA,NA,NA,"0.20368",897,"Immune",1,1,0,0,"ENSMUSG00000038235",2.02118929906994,2.95279244304409
"750","F2","extracellProteaseInhib","extracellProteaseInhib",NA,"0.17984",1854,"Immune",0.000215477295339687,0.0519363082359652,1,0,"ENSMUSG00000027249",2.69108149212297,3.26810972980848
"751","F2r","otherCellSurfaceProt","otherCellSurfaceProt",NA,"0.10722",1278,"Immune",0.00395860729265812,1,1,0,"ENSMUSG00000048376",2.12385164096709,3.10653085382238
"752","Fadd","intracellSignaling","Adaptor","Adaptor","0.33252",624,"Immune",0.00031588268098958,0.198636885065566,1,0,"ENSMUSG00000031077",2.28330122870355,2.79518458968242
"753","Fam168a","Control",NA,NA,"0.0632",768,"Control",0.00969718634099345,0.399245582990328,1,0,"ENSMUSG00000029461",1.14612803567824,2.88536122003151
"754","Fam184a","Control",NA,NA,"0.10955",3429,"Control",0.0392800957939999,1,1,0,"ENSMUSG00000019856",0.602059991327962,3.53516748511494
"755","Fam193a","Control",NA,NA,"0.11012",4551,"Control",0.0063793294801823,1,1,0,"ENSMUSG00000037210",1.27875360095283,3.65810683550639
"756","Fam217a","Control",NA,NA,"0.41655",1920,"Control",0.0294306978922537,1,1,0,"ENSMUSG00000021414",0.301029995663981,3.28330122870355
"757","Fam234b","Control",NA,NA,"0.10973",1869,"Control",0.842158156304412,1,0,0,"ENSMUSG00000030207",1.20411998265592,3.27160930137883
"758","Fam43b","Control",NA,NA,"0.04925",960,"Control",1,1,0,0,"ENSMUSG00000078235",1.04139268515823,2.98227123303957
"759","Fam53b","Control",NA,NA,"0.11857",1269,"Control",0.383076134179329,1,0,0,"ENSMUSG00000030956",1.20411998265592,3.1034616220947
"760","Fam83h","Control",NA,NA,"0.12623",4095,"Control",0.000634821126883529,1,1,0,"ENSMUSG00000046761",1.7160033436348,3.61225390609644
"761","Farsa","Control",NA,NA,"0.06796",1524,"Control",0.00779873687798068,1,1,0,"ENSMUSG00000003808",2.19033169817029,3.18298496700358
"762","Fas","CytoChemoRecept","CytoChemoRecept","CCRecept","0.70982",915,"Immune",0,0,1,1,"ENSMUSG00000024778",2.42160392686983,2.96142109406645
"763","Fasl","CytoChemoRecept","CytoChemoRecept","CytoChemo","0.40189",777,"Immune",0.295257425025165,1,0,0,"ENSMUSG00000000817",2.52113808370404,2.89042101880091
"764","Fbp1","Control",NA,NA,"0.19259",1014,"Control",0.000955281435579515,0.142872776772642,1,0,"ENSMUSG00000069805",2.17026171539496,3.00603795499732
"765","Fbrsl1","Control",NA,NA,"0.17656",3087,"Control",0.0513416698000384,1,0,0,"ENSMUSG00000043323",1.25527250510331,3.4895366294821
"766","Fbxo32","Control",NA,NA,"0.02531",1065,"Control",1,1,0,0,"ENSMUSG00000022358",2.14612803567824,3.02734960777476
"767","Fbxo46","Control",NA,NA,"0.07539",1809,"Control",0.0774480031386142,1,0,0,"ENSMUSG00000050428",1.25527250510331,3.25743856685981
"768","Fbxo7","intracellSignaling","Ubiquitinase","Ubiquitinase","0.38791",1569,"Immune",0.000665361597034899,0.0764553304230757,1,0,"ENSMUSG00000001786",1.77815125038364,3.19562294358694
"769","Fbxo9","intracellSignaling","Ubiquitinase","Ubiquitinase","0.11625",1311,"Immune",1,1,0,0,"ENSMUSG00000001366",1.64345267648619,3.11760269169008
"770","Fcer1a","otherCellSurfaceProt","otherCellSurfaceProt",NA,"0.73083",735,"Immune",3.41860647846231e-06,0.000133041068353412,1,1,"ENSMUSG00000005339",2.00860017176192,2.86628733908419
"772","Fcer2a","otherCellSurfaceProt","otherCellSurfaceProt",NA,"0.33771",987,"Immune",0.000323445370612241,0.615865459518835,1,0,"ENSMUSG00000005540",1.57978359661681,2.99431715266964
"773","Fcgr1","otherCellSurfaceProt","otherCellSurfaceProt",NA,"0.61348",999,"Immune",4.25529917718908e-08,9.34850184667463e-05,1,1,"ENSMUSG00000015947",2.45178643552429,2.99956548822598
"774","Fcgr2b","otherCellSurfaceProt","otherCellSurfaceProt",NA,"0.62785",1023,"Immune",0,0,1,1,"ENSMUSG00000026656",2.51851393987789,3.00987563371216
"775","Fcgr3","otherCellSurfaceProt","otherCellSurfaceProt",NA,"0.68128",801,"Immune",0,0,1,1,"ENSMUSG00000059498",2.67209785793572,2.90363251608424
"776","Fcgr4","otherCellSurfaceProt","otherCellSurfaceProt",NA,"0.55521",726,"Immune",2.39088663397306e-13,3.91653106448344e-09,1,1,"ENSMUSG00000059089",2.26007138798507,2.86093662070009
"777","Fcgrt","otherCellSurfaceProt","otherCellSurfaceProt",NA,"0.21586",1080,"Immune",0.718489100140034,1,0,0,"ENSMUSG00000003420",1.83250891270624,3.03342375548695
"778","Fcna","PRR","PRR","CellWallComponents","0.35818",1005,"Immune",9.39125761283728e-13,1.20443389706182e-08,1,1,"ENSMUSG00000026938",2.22788670461367,3.00216606175651
"779","Fcnb","PRR","PRR","CellWallComponents","0.29511",954,"Immune",2.6195976604846e-15,3.09340315038094e-13,1,1,"ENSMUSG00000026835",2.2405492482826,2.9795483747041
"780","Fdft1","Control",NA,NA,"0.13342",1383,"Control",0.715091556476866,1,0,0,"ENSMUSG00000021273",2.19589965240923,3.14082218010931
"781","Fer","intracellSignaling","Kinase","Kinase","0.0617",2466,"Immune",1,1,0,0,"ENSMUSG00000000127",1.14612803567824,3.39199307225971
"782","Fer1l5",NA,NA,NA,"0.2989",6018,"Immune",0,9.73974999012961e-14,1,1,"ENSMUSG00000037432",1,3.77945218340406
"783","Fga",NA,NA,NA,"0.33795",2238,"Immune",1.41965292568197e-14,2.3052737452729e-09,1,1,"ENSMUSG00000028001",2.29666519026153,3.34986008219233
"784","Fgb",NA,NA,NA,"0.14152",1419,"Immune",0.00321126022398968,0.0237129071146244,1,1,"ENSMUSG00000033831",2.19312459835446,3.15198239545747
"785","Fgf3","Control",NA,NA,"0.11005",735,"Control",0.509091120507238,1,0,0,"ENSMUSG00000031074",2.51719589794997,2.86628733908419
"786","Fgf9","Control",NA,NA,"0.00852",624,"Control",1,1,0,0,"ENSMUSG00000021974",2.53907609879278,2.79518458968242
"787","Fgg",NA,NA,NA,"0.17701",1329,"Immune",3.70880983283461e-05,0.0147472439910669,1,1,"ENSMUSG00000033860",2.20951501454263,3.12352498094273
"788","Fgl1",NA,NA,NA,"0.26618",942,"Immune",0.000307661595593883,0.0491198390651011,1,1,"ENSMUSG00000031594",1.6232492903979,2.97405090279288
"789","Fgl2",NA,NA,NA,"0.15681",1263,"Immune",0.196205414434532,1,0,0,"ENSMUSG00000039899",1.7160033436348,3.10140335055533
